Country_Region,CFR
Afghanistan,0.019600823413586
Albania,0.031872509960159
Algeria,0.071621780548042
Andorra,0.066841415465269
Angola,0.057142857142857
Antigua and Barbuda,0.12
Argentina,0.036981311371555
Armenia,0.012231126107128
Australia,0.014313780522032
Austria,0.038756877683052
Azerbaijan,0.011940997424491
Bahamas,0.11
Bahrain,0.001526551084942
Bangladesh,0.0140789658564
Barbados,0.076086956521739
Belarus,0.005492138703425
Belgium,0.162394056712357
Belize,0.111111111111111
Benin,0.015706806282723
Bhutan,0
Bolivia,0.039189189189189
Bosnia and Herzegovina,0.060681629260183
Botswana,0.028571428571429
Brazil,0.062611697048264
Brunei,0.00709219858156
Bulgaria,0.053431976983148
Burkina Faso,0.0625
Burma,0.029556650246306
Burundi,0.023809523809524
Cabo Verde,0.007692307692308
Cambodia,0
Cameroon,0.033742331288344
Canada,0.076389765722747
Central African Republic,0.001533742331288
Chad,0.088791848617176
Chile,0.01028420071084
China,0.055147321110081
Colombia,0.034120376688959
Comoros,0.011494252873563
Congo (Brazzaville),0.032854209445585
Democratic Republic of Congo,0.029168480626905
Costa Rica,0.010515247108307
Cote d'Ivoire,0.012381345439538
Croatia,0.044563279857398
Cuba,0.042116076014381
Cyprus,0.018143009605123
Czech Republic,0.035214396800711
Denmark,0.04859312963922
Diamond Princess,0.018258426966292
Djibouti,0.005672609400324
Dominica,0
Dominican Republic,0.030518145027533
Ecuador,0.085744880203453
Egypt,0.043579896476874
El Salvador,0.017650025214322
Equatorial Guinea,0.01150527325024
Eritrea,0
Estonia,0.035635964912281
Eswatini,0.0078125
Ethiopia,0.00763358778626
Fiji,0
Finland,0.046673738445219
France,0.15546220782555
Gabon,0.00655737704918
Gambia,0.04
Georgia,0.016415868673051
Germany,0.046007751937985
Ghana,0.004700352526439
Greece,0.059680777238029
Grenada,0
Guatemala,0.015691489361702
Guinea,0.006106870229008
Guinea-Bissau,0.005942275042445
Guyana,0.08029197080292
Haiti,0.028183716075157
Holy See,0
Honduras,0.043447123418477
Hungary,0.130724174653887
Iceland,0.005543237250554
India,0.028782338737496
Indonesia,0.061142857142857
Iran,0.054100955534257
Iraq,0.035189982728843
Ireland,0.065025508138311
Israel,0.016792159674913
Italy,0.142845349716282
Jamaica,0.016187050359712
Japan,0.050057294493698
Jordan,0.012658227848101
Kazakhstan,0.003902330248634
Kenya,0.040435458786936
Kosovo,0.028901734104046
Kuwait,0.007511266900351
Kyrgyzstan,0.011165387299372
Laos,0
Latvia,0.020972354623451
Lebanon,0.023235031277927
Lesotho,0
Liberia,0.09811320754717
Libya,0.04
Liechtenstein,0.01219512195122
Lithuania,0.038532110091743
Luxembourg,0.027548209366391
Madagascar,0.003690036900369
Malawi,0.03960396039604
Malaysia,0.01550492112714
Maldives,0.002867383512545
Mali,0.063267233238905
Malta,0.009819967266776
Mauritania,0.034351145038168
Mauritius,0.029940119760479
Mexico,0.107348287743478
Moldova,0.036518819084931
Monaco,0.040816326530612
Mongolia,0
Montenegro,0.027777777777778
Morocco,0.026553372278279
Mozambique,0.004784688995215
MS Zaandam,0.222222222222222
Namibia,0
Nepal,0.005865102639296
Netherlands,0.128152319186696
New Zealand,0.013962765957447
Nicaragua,0.060931899641577
Niger,0.065194532071504
Nigeria,0.028879524045612
North Macedonia,0.056528264132066
Norway,0.028096604495457
Oman,0.004761904761905
Pakistan,0.020710216685301
Panama,0.027720647411249
Papua New Guinea,0
Paraguay,0.01271676300578
Peru,0.029271086232346
Philippines,0.060967944688875
Poland,0.04655355739448
Portugal,0.043198648824217
Qatar,0.000571868470252
Romania,0.065908220751518
Russia,0.010279350474073
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
San Marino,0.063063063063063
Sao Tome and Principe,0.036789297658863
Saudi Arabia,0.005334581188582
Senegal,0.011182108626198
Serbia,0.021352631108729
Seychelles,0
Sierra Leone,0.057142857142857
Singapore,0.000719649561952
Slovakia,0.018530774321641
Slovenia,0.07283866575902
Somalia,0.039076376554174
South Africa,0.020368409908956
South Korea,0.023964365256125
South Sudan,0.009925558312655
Spain,0.113993203058624
Sri Lanka,0.008460236886633
Sudan,0.042756539235413
Suriname,0.090909090909091
Sweden,0.119049729633898
Switzerland,0.062219475704157
Syria,0.037735849056604
Taiwan*,0.015873015873016
Tajikistan,0.014838709677419
Tanzania,0.041257367387033
Thailand,0.018737672583827
Timor-Leste,0
Togo,0.033678756476684
Trinidad and Tobago,0.068965517241379
Tunisia,0.045670789724072
Turkey,0.027684489335547
Uganda,0
Ukraine,0.029324546952224
United Arab Emirates,0.008182928036427
United Kingdom,0.14091191291464
Uruguay,0.027954256670902
United States,0.059086736345141
Uzbekistan,0.004076513013484
Venezuela,0.008496176720476
Vietnam,0
West Bank and Gaza,0.00709219858156
Western Sahara,0
Yemen,0.188841201716738
Zambia,0.007608695652174
Zimbabwe,0.071428571428572
